1,labels
my heart sank,[4]
i shook my head and willed every broken hearted thought to go away,[4]
i feela little better but my ears are popping and my nose is running so muchthat im thinking i need to get stock in puffs tissues,[2]
i just didnt have it in my legs to keep up with that through the hills and fell back,"[2, 4]"
i look down to check out the pool below and i see a small white sphere floating slowly along,"[2, 5]"
charlie was so crazy,"[3, 5]"
we didnt swing we just rested and enjoyed the weather,[3]
theyre sitting right across the pool from my mom just staring at her,"[0, 2, 5]"
4about 4 years old sitting on the couch in my basement eating an orange flavor ice,[3]
got caught with a shitload of mary jane,"[0, 2, 4, 5]"
i got a thousand dollars from my grandfather that he invested in me when i was born to get my feet on the ground and already in one day it is almost gone,[4]
people just arent buying cds any more when j warren former owner of vibes music spoke these words my heart sunk a little in my chest,[4]
your son is not liking the strap around my belly ,[2]
she was rude to our photographer she was rude to a few guests and to us,[0]
she was an ugly and weird girl,[0]
we locked our door and kept our lights on the whole night and just watched movies until dawn,[2]
callie takes attention at my tone having probably gotten used to my mumbled thanks in response to all of the attendees who had already been by and she places her hand protectively at the base of my spine,[3]
and that concludes this post of random news from my neck of the woods,[6]
the nightmares and fear were new and inexplicable,"[2, 4, 5]"
so i fixed my eyes on the sandaled feet that walked before me until we arrived at the next town never looking back,[6]
guess its more sad than creepy,[4]
and christian fish bumper stickers it caught my eye and made me grin,"[3, 5]"
now im a mostly law abiding student and moderately successful artist,[3]
there was something about the way it was moving that didnt look or feel right,"[2, 5]"
i have seen the sr71 at smithsonian this thing was bigger,"[3, 5]"
they even have fish baby food i think i just threw up a little in my mouth the fish here does taste better even the cheap kind,[2]
thisdesire this problem,"[2, 4, 5]"
this is what i recall there was a sheet draped across my belly vertically so i couldnt see what was going on,[2]
at this point my cousin notices that his house is decorated entirely with circus clowns,"[2, 5]"
this is my creepiest real story,"[2, 5]"
i got a full bottle of vicodin for pain and a soft cast on my wrist,[2]
got ready for junior year to end june school ended i dyed my hair purple lol i sprained my ankle on the way to the riverfront festival,"[2, 4]"
i was aghast but attempted to help her so as not to tear the dress or hurt my arms,[2]
it started out like a small ache but as the day progressed it turned into this sharp jabbing pain in my ear,[2]
at 3000 comments deep no one will read it but i genuinely believe its the creepiest one here,"[2, 5]"
even with all that my asthma still keeps getting worse and worse,"[2, 4]"
she never went through general anesthesia again,"[2, 4]"
warmth acrossed my cheek from golden rays,[3]
tomorrow i see a cardiologist to check my heart out,[2]
a rather regular occurrence happened at night upstairs,[2]
 i would wake up in the middle of the night and my bedroom would be super bright,"[2, 5]"
like john and will,[6]
my blood turned to icewater in my veins,[2]
i was kicking and cupping my hands for dear life,[2]
i saw down the hallway a figure walking slowly toward me,"[2, 5]"
i turned my head to oncoming headlights,[2]
while packing up our booth at cha i momentarily threw my back out,[2]
my little dog 1  12  jane originally uploaded by sarah a heartbeat at my feet,[3]
no one was there,"[2, 4, 5]"
if anything it has inspired my creativity,[3]
i need no throwaway,[6]
as i lay upon the table with my eyes closed awaiting a peaceful treatment she began to talk oh no,"[2, 5]"
we got the ranch loaded our guns and sat up till sunrise,"[2, 3]"
so was the suddenly loss of strength in my legs,[2]
he senses my fear he feels some power he brings up his had i cry and i cower hes out of control i let out a screech he strikes again like lightening tears stream down my cheek theres a flash in his eyes what i beg him to quit bruised swollen cheeks a fracture in my hip,"[0, 2, 4]"
it was a tempting trap and my greed forced me to fall for it and i burnt my hands there,"[0, 2]"
in silence i prayed and searched my heart,"[2, 4]"
she is an alcoholic,"[2, 4]"
my brains dead weight im tryin to get my head straight but i cant figure out which cheerleader i wan na impregnate,"[2, 4]"
it was his very crappy white trash dream car,[0]
it splatterd hot cleaning product everywhere and that burnt my arm and left a mark,"[0, 2, 4]"
open the bedroom door brandon fast asleep on the bed,[3]
any potential bride is warned  the groomsmen gifts will be swords,"[2, 5]"
the headwind down this piece of road was not good i had my head down not good for talking in as much oxygen as i could,[2]
he acted confused about the whole incident,"[2, 5]"
she lived in the boonies amp one night she was getting ready for bed when she glanced out the window amp saw a red flicker,"[2, 5]"
it was the day after my 20th birthday,[6]
i had my hand on the side of my face when i was drawing and then i moved it and was like  oh my god i m bleeding out my ears ahhhhh,"[2, 5]"
i will never forget hat day,"[4, 5]"
but when i feel the sand under my feet hear the roar of the waves and the strength of the gulf winds pushing and pulling the water in a sacred motion all else is gone,[3]
my ankle is feeling 100x better but now my knee is ridiculous swollen,"[3, 4]"
you see i was still on my journey to healing a bit of a  broken heart  so practically my heart was not in a bad shape then,[4]
suddenly another plane was involved heading for washington and my heart stopped beating for a few seconds as the implications of what was happening took me to my knees,"[2, 4, 5]"
probably going to get buried,"[2, 4]"
what was the aftermath,"[2, 5]"
with workadam has really been breathing down my neck about files not being opened fast enough,"[0, 2]"
this was my rest week and my legs and everything else were closed for the day,[3]
when i was just under 2 years old we started renting a crappy tiny little house out in the boonies,[4]
jeff got in the tub with me at some point and was also rubbing my back and such as most of my labor was in my lower back,"[2, 4]"
i tried to punch him but my arms were tied behind my back,"[0, 2]"
well i make it about 2 miles from my apartment when i notice a small drop on my arm and then another i say uh oh i better get back then it starts to rain a little then harder and harder to the point that im soaked even my shoes are filled with water,"[2, 4]"
i said sure thing,[3]
as usual i feel like im carrying too much burdens in my heart,"[2, 4]"
it was just garbled,"[2, 5]"
 already got one on my leg want another one on my left leg yeah my left leg my foot the back of my neck my hand want more,[3]
whatever was stuffing up my head yesterday moved into my chest,"[2, 4]"
after reading the top comment about the persons mom and her friend maybe she isnt telling me something,"[2, 5]"
curtain pulled back i shield my eyes for a moment glare adjustment then neon colour washes over my face  slackjawed openmouthed awe ,"[3, 5]"
my stomach had been upset and was bothering me since i woke up so i stopped at sonic and got a sunrise smoothie for breakfast before heading to work,"[2, 4]"
i decide to stay awake and just well sit on my laptop,[6]
i know last time i did this i hurt my back a little but i never learn im hard headed i wanted to burn up some more calories,[2]
there was blood coming out of my mouth nose and ears,"[2, 4, 5]"
its the feeling of injecting crap into my veins and feeling my soul being sucked slowly through the needle drinking from my arm like a giant mosquito that i loathe,"[0, 2, 4]"
boy was i wrong,"[2, 4, 5]"
i had a dream one night of a goldenhaired child,"[3, 5]"
 and burst out laughing,"[3, 5]"
they were both fantastic,[3]
fairly certain i got a back rub from my boyfriend though,"[3, 5]"
some children came out and cheered me on offering water and slapping my back,[3]
sometimes my eyes feel so transparent so rubbing them helps my eye lids feel real,[2]
nothing in his bed not on his pillow not on the bed not on any doorhandlesnothing,"[2, 4, 5]"
i told them i felt a bit sick so they hurriedly put a sickbowl on my chest then 10 seconds later i spewed up but a lot of it when all down my new white tshirt,"[2, 4, 5]"
i drew my robes around me tightly as my legs kept walking to no particular destination,"[2, 4]"
several hours of that was enough to put me flat on my back so i took a nice long nap then just rested for the remainder of the day,[2]
my throat felt like i was choking down hot spiked coals,"[2, 4]"
im wasting my time doing nothing with my sisters e5700 hanging on my neck,[2]
2 minutes later i hear sobbing coming from the toilet,"[2, 4]"
nevertheless i pulled my hand away,[2]
all the while my foot throbbing,[2]
it never came up,[5]
fortunately the kindly ajeoshis and ajummas that i rented the scooter from helped me get on a bus to the other ferry but not before pulling me up a seat to thier table and shoving succulant watermelon in my face,"[3, 5]"
it was a mess,"[0, 2, 4]"
i was incredibly nervous i had butterflies in my stomach and my legs felt weak,[2]
the feeling in my stomach i can not bear,"[2, 4]"
my face was gaunt and thin and my eyes sunked in to my head,"[2, 4]"
his last days were spent in a cone,[4]
my mother gets bothered just telling the story,[4]
im frozen for a few moments tears welling to my eyes as i try to squash the emotions,"[2, 4]"
im still sick my nose is sore from blowing it all day and its wicked hot in the apartment,"[2, 4]"
every single time i found a girl that i was interested in they always ended up finding some creative way to break my heart,"[0, 4]"
we didnt know what to do the harder we pulled the harder the trap stuck to my fingers,[2]
so when the laughing fit stopped back to my seat i went with a big ole smile across my face,[3]
i had to be flown to the hospital,"[2, 4, 5]"
 this event happened after the war but before the wall went up,[5]
it used its claws to tear my living room couch to shreds,"[0, 2, 4, 5]"
i could not believe how fast it went considering i had to stay on my back the whole labor,"[2, 5]"
jj had gotten drunk and taken the car,"[0, 2, 5]"
that was a 16 hour day 19 for most people except i pulled a muscle in my back and couldnt move without being in excruciating pain,"[2, 4]"
i wan na get my hands on that seriesi took a nap at the booth cuz there wasnt anything else to do,[3]
after i wash my face and brush my teeth i go out from the kitchen and found that someone sleep on my place using my blanket and also pillow,"[2, 5]"
ugh so today i found out that some people have been talking shit abou tme behind my back,"[0, 2, 4, 5]"
who was perfectly fine,[6]
it was hairless and covered in gray skin,"[2, 5]"
thoughts of the movie phantasm were swirling through my head,[2]
he txtd me last week to ask about my knee out of nowherewtf,"[0, 5]"
horrible nightmares that seem real because you recognize your surroundings as your bedroom but theyre still just nightmares,"[2, 4, 5]"
when i was 10 we had to paint birds for art i was pretty good at art but a girl copied my exact one even though we had to do different ones and i was not pleased,"[0, 5]"
shitty situation dont protect yourself with guns unless shots have already been fired,"[0, 2]"
we went to bed,[6]
we grew pretty close,[3]
she left the room and went downstairs,[6]
my arms and legs saw sun for the first time in a long time,[3]
i even tried to sleep sitting up for a bit that ended when i nearly gave myself whiplash when my head dropped,[2]
i was at a large rock festival,[3]
my grandfather was a keen hunter,[6]
for a few months i have always been thinking about getting my tongue pierced,"[2, 3]"
prior to we got some humongous popsicles which turned my tongue an amazing shade of blue and we visited the childrens as display,[3]
in the back of my head i was like great,[6]
he went and cried literally cried to the guidance counselor,"[4, 5]"
a song started to loop inside my head,"[2, 3]"
i smashed my face with the box i was carrying busted my lip and got blood all over my face broke my glasses  again ,"[0, 2, 4, 5]"
my friends and i were at the beach a few weeks ago,[3]
everything and i mean everything matched up,[3]
this was the worse night of my life,"[2, 4]"
i saw peppermint patties,"[3, 5]"
my radio was turned on very loud and i used rock music to keep my eyes open,"[2, 3]"
decide to be roommates,[3]
my throat was covered by something and i didnt know what was going on,"[2, 5]"
i met my best female friend on omegle she lives 3000 miles away from me and we have never met,"[2, 3, 5]"
i leaned my ear close and it stopped but only for a few seconds under the sink,[2]
wah my face all cringed up,[4]
warm salty tears slowly rolled down my face and made my goggles wet,[4]
nothing but fine grey and tan sand as far as my eyes could see,[4]
he was shaking the bed,[2]
i looked down at my feet and saw that the waves had kicked up some of her trash,[6]
well i have the bright idea that i need to stop being like this and i end up alone on the elevator with this girl,"[2, 3, 4, 5]"
  x 26 nbsp i folded my arms on the table and rested my head on my handsbut in a few moments there was a lot of tension in my jaw from this positon,[2]
scared the hell outta me,"[2, 5]"
i guess i pointed to jenny without hesitation,[6]
paini have injured my knee somehow,"[2, 4]"
to be frank lens and makeup really succeeded at enlarging my eyes in spite of the grotesque focus of my vision,"[3, 5]"
he ran outside with it to find this man at the bottom of our driveway,"[2, 5]"
im tired of fighting against you life im tired of getting up and going into work day after day even when im sick to my stomach and my heads throbbing,"[0, 2, 4]"
it will not be my dream job but it will be okay,"[3, 4]"
i was okay though it was hot when it landed at on my arm,[6]
i always like to head out into the boonies after i have been away for a long time to get my head straight,[3]
i went up on stage and sang my heart out and afterwards signed up to sing another song with becca  alas we ran out of time  and though i dont know any dance moves i got a bit of a rythm so it was all good,[3]
laughing about it we went back up the beach to go home when we heard a huge bang and saw a bright white flash up by where the houses were,"[2, 3, 5]"
and here in edinburgh through this journey of mine it has been right at my side in my hand,[3]
im sitting up and not going anywhere basically halfway through the tube,[2]
we all refer to it as the witch scream and to this day i have no idea what made it,"[2, 5]"
i got there about 700 am and started losing up my legs and doing some yoga,[3]
she shows up drunk,"[0, 2, 4, 5]"
my eyes followed noting that there was just the two of us,[6]
it was the first blog of many that i wrote about having cancer on my nose,"[2, 4]"
i swing my foot back then proceed to apply a good strong kick to the underside of the table,[0]
 you know who you ladies are  tracy brought out the very first picture of an angel and it brought tears to my eyes,[4]
i had a really nice boss and a kush parttime accounting job during college,[3]
my leg is painful this time i got bought a lot of new cloths my bro also shoe is like normal one,"[2, 4]"
posted by melissa at 1029 am atrial fibrillation revisit at the end of lunch on tuesday i felt my heart start racing,[2]
everyone was rather distraught as he was widely liked and respected,"[2, 4]"
i accidentally time travelled,"[2, 3, 5]"
i ran my hand through my hair trying to clear my head,[2]
a bit of a mental image here,[5]
i ate a delicious sandwich on an everything bagel and one of the seeds got stuck in between my teeth,[2]
strange cause usually im the first one to bitch about the cold but anyway so cafe frangelica at home with a bit of milk so i can drink it without burning my mouth and a dah of sugar,[3]
yesterday my back stared killing me by 430 the pain was unbearable,"[2, 4]"
its currently snowing big flakes outside and im crossing my fingers and hoping for a snow day,"[2, 3]"
wait around getting pissed,"[0, 2]"
i repeatedly thought i am not going there,"[0, 2]"
either way he had threaten to burn my new place down and miraculously it did,"[0, 2, 4, 5]"
my eyes had been closed and as i had opened them everything seemed to metirialize infront of me like a liquid curtain dropping infront of me,"[2, 3, 5]"
the issue was when we were smoking it it felt sharp and acrid and terrible,"[0, 2, 4, 5]"
my left clav essentially blew up but it didnt stop there,"[2, 5]"
threw my underwear away in their kitchen garbage,"[2, 5]"
turns out this big lug was basically 90 heart 5 muscle 5 brain,"[3, 5]"
she grinned toothlessly and with a cackle spoke now your third wish,"[2, 5]"
the ledge of the beadboard dug into my back,"[2, 4]"
i couldnt walk without tripping over her,"[0, 2]"
 i chanted in my head,[6]
thats right  this iphone had been lying on train tracks in broad daylight for 6 months and it still worked flawlessly,"[3, 5]"
the park is a small field the only way out is at one end with a small fence with a gate otherwise its closed off,[2]
they played the majority of the classics thank god and i screamed my heart out which is why i have no voice right now,[3]
at this point i am confident that my neck could actually heal completely which is unlike how i felt about it previously,[3]
the blood blinded my eyes as it ran down to my cheeks and i tasted the sweetest flavor,"[2, 5]"
wow did my head start to hurt,[2]
this was right before sunset when we got in bed and i instantly fell asleep,[3]
not a completely awful birthday but my worst,"[3, 4]"
the redmond cycling club that organizes this event had madetoorder coldcut sandwiches and  be still my heart  icecold cans of cocacola at the final aid station,[3]
early the next morning newspaper under my arm i approached the counter of the coffee shop and asked for two medium coffees black threequarters full only,[6]
i snapped my phone shut clenching my fist around it tightly,[0]
she hit katahdin and celebrated,"[0, 3]"
a woman is going to get an abortion,"[2, 4, 5]"
where my feet couldnt get warm enough while i slept and i had to wear booties while sleeping,[2]
plus writing it down helped to cement it in my heart,[3]
for the first time i noticed their eyes,[5]
after we had finished eating some of us continued shopping  or wandering around the shops  and a number of times i was told to crouch down with my knees spread or bend over and had the jumper lifted,[2]
so was yesterday and i was surprised i was able to wear my coachs without freezing my toes off,"[3, 5]"
right behind the log,[2]
tears streaming down my face i say  let this end be because of my own making ,"[2, 4]"
we need to talk,"[0, 2, 4, 5]"
needless to say i never called him back,[0]
 fuzzy stuff here  someone was plucking my eyebrows in one of the dressing rooms and i was so upset because they were too thin,"[0, 4]"
stretching until my toes were caught by the sheets and my fingertips brushed the headboard i opened my eyes,[3]
i quickly look behind the trees and the other moon is gone,"[2, 5]"
its like a dream flying through my head,[3]
i have to go deep in myself not to walk down the familiar streets in my head,"[2, 4]"
i forget but i never forgive,[0]
now im awake the knot is gone but my muscles are sore and i still have to make a conscious effort to relax or the pain comes back a little,[2]
i stopped my foot already at a turn in the road that led down to a sunlit valley,[3]
that boy who was probably very mentally ill  had just been stabbed god knows how many times,"[0, 2, 4, 5]"
a former boxing coach for the soviet union,[5]
i trust this man even less than the woman but i cant put my finger on it,[2]
i tried to get out of bed and as i did i immediately fell on the floor unable to get my legs underneath me,"[2, 4, 5]"
i politely decline and went home,[6]
but i was happy and pretty tickled that i was able to get out and go fight or hunt  scrap for materials that i do nt have to pay for as well as just get out in the open airthe downside was i really twisted my ankle and its slowing me down considerably,"[3, 4]"
maybe they saw the look of ecstasy on my face as i sped up and slowed down with twiddling precision,[3]
right now i am doing the pain killers and quad exercises with the proviso that we keep a close eye on the damage already done to my knee,[2]
so i sit across from this guy and this girl i say hi to the girl and i turn to the guy and we just stare at each other for at least 30 seconds to a minute,"[2, 5]"
the stone inside my heart was removed ,[3]
only damage done was scarring and a broken collar bone,"[2, 4]"
and my hair was straight and nice already so i pull a sweater over my head and jump into some jeans run to the bathroom brush my teeth while combing my hair with my fingers grab my purse and im out the door with sunglasses on cuz i got no makeup on so i get to the bus stop and realize i forgot to put out the bottles and a check for the waterman who comes at 9 am,[2]
he makes me do these things where my arms are on a bench and i drop down,"[0, 2]"
her mom and grandma are worse to deal with than her,"[0, 2]"
and youll have just married psycho ex,"[0, 2]"
most mornings i drift in and out slowly shaking off the fuddle of sleep but yesterday i was right there with my eyes wide open and the clock saying eight,[3]
the look of shock on his sugarinfused face will be seared into my memory until the end of time,"[2, 5]"
i want to tell him but im not ready to be lectured and have my head chewed off,"[0, 2]"
anyway it was weird,"[2, 5]"
i started smoking there,[6]
none of us had and then years later my brain had changed quite immensely,[6]
lets hit it,[3]
what did i see,"[2, 5]"
a highly intoxicated roommate and a black girl going at it,"[0, 2, 5]"
i realized i was now down to my last 20 pound note and some coins  which i have yet to figure out  so i decided to keep my eye open for an atm,[2]
and then my cheeks get even redder,[6]
i can see him staring from the corner of my eye i take a small glance and ask myself  why ,"[2, 5]"
then my hand that had the red figure opened of its own accord and shot out a red ball of light,[5]
obviously there was no body but what they did find was quite surprising,[5]
if id have had to wait on her to drive me home that woulda been fucking terrible,"[0, 2]"
now the sunshine is out and bright against my right side of my face just like it was after i had my hair done,[3]
they were filled with garbage dirty clothes and empty tampon containers,"[0, 2, 4, 5]"
amused so yeah i broke my nose playing  flag  football yesterday,[4]
she had a fish tank with two fish a bottom feeder and an angel fish,[3]
i liked the trains better than the refers,[3]
i go fucking ballistic,"[0, 2]"
however i get sick to my stomach when i think about the fact that i have been sleeping with my brother for so long,[2]
we never said anything but just continued home,[4]
i think just a week or so until i have my nala kitty back in my arms,[3]
as soon as i started climbing my hands felt toasty warm,[3]
have i just made my first ghost poo,"[2, 3, 5]"
my grandma used to do a magic trick that to this day i cant explain,"[3, 5]"
he knows whats happening and passes over a gel containing more than my average monthly dosage of caffeine and i pour the entire syrupy mixture down my throat,[2]
no problem he said,[3]
it was mutually beneficial,[3]
probably shaved 30 minutes or more of stop and go traffic,[3]
so i tried to make things as simple as possible even though it was a pretty fancy wedding my moms standards,[3]
i keep looking around me and it seems each time i do i find more blessings that have become long lost answers spread over the forgotten wishes of my heart,[3]
14 years later were still best friends,[3]
only one hour of sleep then 9 hours on my feet,[2]
then she told me it might be due to the new birth control pills she started soon after i left,"[2, 4, 5]"
i cannot stay here,"[0, 2, 4]"
telling me im going to hell,"[0, 2, 4]"
i dont know how but as soon as we started i got 3 numbers in a row completely correct,"[3, 5]"
i thought it must have been a good time to have a nap so i fell asleep,[3]
i could not do it,"[0, 2, 5]"
i oblige and he says something about how i have fluid in my lungs and i need to cough it all out,[2]
it did help that i didnt have to think about switching the hand my ipod was in  yes i carry it no armband here  and it was much easier to pump my arms without the headphone cords to get tangled up in,[3]
i know right no point of lying to him by saying that im alright when its written all over my face that im at my worst condition but still i dont wan na worry him that much and so i said  im fine,"[2, 4]"
i was on a date with this woman,[3]
barbell rows 6 x 4 x 185  the ssb absolutely tore up my back,[4]
it would be her first great grandchild,"[3, 5]"
one day one of the nazi soldiers went missing,"[2, 4, 5]"
and it constantly feels like thoughts are racing through my head,"[2, 4]"
one guy threatened to talk to his uncle a judge to see if anything could be done to incarcerate me but i just thought that was embarrassing especially as ive been through the police stuff and theres nothing they want to do,"[0, 2]"
last night i walked into my room  without turning on the light switch  and tripped over a laundry basket and fell on my face,"[2, 4, 5]"
so they decided to throw me a 90s mcdonalds birthday party,"[3, 5]"
but my eyes didnt seem to shut,"[2, 4]"
it was several years later that i realized that i had probably narrowly avoided being molested kidnapped or worse,"[2, 4, 5]"
the best i could offer was a small keloid scar on the meaty part of my palm from busting a glass while washing dishes,[6]
several times in the last couple weeks ive had to scratch my head cleverly for a few minutes trying to figure out how to get into my office,[2]
i woke up one night and my heart was racing i shake away the drowsiness and started tracing for what i had dreamt about moments before,[2]
unfortunately this one did not end the same way ours ended,"[4, 5]"
my car door was still open so running into the street after it like a moron i tried getting into the car and winded up missing and getting stuck half in the car and half out getting drug across the street and finally ending up in someones yard when the car came to a stop after rolling over my foot with the tire,"[0, 2, 4, 5]"
tldr the love of my life tried to kill me i killed her first,"[0, 2, 4, 5]"
my feet still get rubbed at the end of the day and when we go out to eat its still my choice,[3]
i told myself i cant buy anything yet my hand just cant stop me for buying,[2]
i was like wtf,"[0, 5]"
my brain decided to start trying to do the kempo workout from last night again which is not conducive to sleep,[2]
as soon as i came out of the loo to wash my hands a girl stepped out of the loo next to mine followed by an horrendous smell,[2]
she certainly has the right name view at the glaciers in the distanceme being silly so i had a good morning before going to work and feeling the worldat least the hotel worldcrumbling at my feet,"[2, 4]"
 by now a small intense knot of hatred swelling in my stomach,[0]
a long while ago i slept over at one of my guy friends house,[3]
only to be horrified,"[2, 4, 5]"
perhaps ill alter the whole thing,"[3, 5]"
i have major headache just want to sleep all day and the worst part when i look in the mirror my lips is swollen to like two times the size,"[2, 4]"
at about 4 i was running with a pole with one end in my mouth i tripped and it went straight through the top of my mouth,"[2, 5]"
he looks over and i realise how obvious i am with a huge grin on my face looking suspicious,"[2, 3]"
a week later he had a girlfriend,"[3, 4, 5]"
i stood in the back and flipped through a book my forehead deeply furrowed as though i was seriously seeking answers to the universe,"[2, 4]"
i immediately pulled over and tried to grab him but he ran past me,"[0, 2, 5]"
this will get lost but whatever nobody fucking believes me,"[0, 2, 4]"
can i add a bridesmaidzilla story,"[3, 5]"
i messed up my shoulder pretty well and damn near broke several fingers,"[0, 2, 4]"
amber on the other hand was missing a boyfriend,[4]
less hours means they are making less money,"[2, 4]"
it got so bad that in the car on the way home i had to put the air on full blast and put my head down in the car to try to keep it cool so it didnt ich so much,"[2, 4]"
second story equally creepy,"[2, 5]"
there was a red burn mark on my chin for a couple of weeks,[4]
what came out of my mouth was because white reigns supreme,"[0, 2, 4, 5]"
i closed my eyes and heard something hit the ground,"[2, 5]"
i think i couldve laughed my head off that night except that i had to keep my head in place so i could laugh some more haha,[3]
i learned a lot about my teeth during my visit today,[3]
i stopped a couple times to stretch out my calves and quads,[6]
mom asked us all to sit down and thats when my heart began to sink,"[2, 4]"
i say cool how did he meet her,"[3, 5]"
 jinki you were the one fiddling with my hand back at the broadcast,[6]
i now wore a 36b bra and my waist was down to 25 inches but she insisted,[6]
my back hurts my sinuses are full of fluid i have been suffering pretty bad depression since my folks were here this weekend and i am excited because i got new towelsi am an old lady regardless of how long i have existed,"[2, 3, 4]"
the spring sun was just rising and his car was already ripping down the highway,"[2, 3, 5]"
awkward lunch time sometimes i think my mouth just kinda glues shut on me,"[2, 4]"
i remember saying dad,"[2, 4, 5]"
just the thought of having to get up and speak in front of 30 people makes my heart want to pound out of my chest but i have to get over my shyness,[2]
whats a typical possession,[5]
thisll probably get buried but what the hell,[5]
edward i cant put my arms down,[2]
for the first time since i collapsed i was able to let out how i felt inside and what sounded like shrieking began to come out of my mouth,"[2, 4]"
my horror unfurls as it whispers my name  it eyeballs me and holds my gaze dread rips through my heart as it screams out,[2]
thankfully i never went through with it,"[2, 3]"
my ex boyfriend has been texting me every single day for a month continuously,"[0, 2, 4, 5]"
seemingly because the bartenders were very heavy handed,[0]
i guess i should learn to just not open my mouth because this morning when i woke up i was in minnesota,[5]
those memories still trigger terror sweats,[2]
we went out for pizza everything was grand  great conversation no awkwardness  until a friend of hers came up and started chatting and then congratulated her on her new boyfriend etc,"[2, 3, 4, 5]"
it breaks my heart though that someone could be that selfish to make their dog live in so much pain and suffering,"[0, 2, 4]"
my long brown hair caressed my face small curls wrapping around my ear softly,[3]
i walked into the coffee shop my eyelids straining to get out of my pupils  way,[2]
one day in high school my mom corners me in my room holding up this small white thing,"[2, 5]"
i raised my eyebrows suspiciously,[2]
were also thieves,"[2, 5]"
and sometimes an elbow to your side makes you realize that you better get moving tootime waits for no man tom waites makes my spine tremble and thyme makes a good spice,[2]
i started out the run and before too long something caught my eye in the snow,[5]
when its right under my nose i cant see whats what,[2]
i dragged my feet home after a tired day in school  oh man its only the first day ,[4]
after that we took a taxi home right now my leg hurts and while im typing this the photos are uploading see ya,"[0, 2, 4]"
put a smile to my face haha,[3]
my wife is nonreligious,[6]
i felt a gun pressed against my forehead and looked up,"[2, 5]"
she opened the door of the moving vehicle jumped out and landed on her feet,"[2, 3, 5]"
its his reflection,[5]
she was brazilian or chinese or something weird,"[2, 5]"
it was probably about 2100 either way it had already gone very dark was possibly winter time,[2]
i looked down at my hands,[6]
i showed the bouncer my face the preferred method to keeping my exclusiveness intact since the tiny clubs capacity was at its limit of 87 once you were inside you were given inandout privilege,[6]
he never was coming,"[0, 2, 4]"
it hurt so much,"[2, 4]"
kinda freaky but it never struck me deep,"[2, 4, 5]"
i stretched out my arms for balance and bounced more vigorously,[3]
needless to say none of us slept,"[2, 4]"
it wont close,"[0, 2]"
i was petrified he looked really calm,"[2, 5]"
shadows falls new cd  threads of life  in my eyes can be placed alongside  the art of balance  and  the war within ,[3]
i most certainly had change,[6]
my throat is now only a dull ache  as one nurse said strep throat is the throat you dont forget boy was she right ,"[2, 4]"
and my mind drifts away i close my eyes its like im almost there,[3]
and probably murder me,[2]
i have many memories of him sitting across from me and sucking on a pigs foot while i wrinkled my nose in disgust,[6]
my goodness at that point i was shocked beyond words and i believe i had an epico expression on my face,[5]
but for this time i took my heart with me to indulge myself into the song after i seen sarah blogging in her post i can feel what she is feeling,[3]
she is a nice religious girl exactly like the one he wanted to be with,[3]
after a month at tables and tv trays i was back on the ground eating with my legs crossed and had no complaints about it,[3]
so i did some chores but mostly took it easy my eye no longer ached anyway,[3]
i turn around hoping my back hid part of my drawing and look down at the paper in front of ryutaro my hand only inches away from his and start to explain the directions a little clearer to him,[6]
friend is gay one of his freshman roommates tried to kill him by putting isopropyl alcohol in his vodka,"[0, 2, 4, 5]"
as a caretaker this freaked me out to no end,[2]
it was last year when i turned 18th,[3]
then things get weird,"[2, 5]"
i was ecstatic but the joy was fleeting,"[3, 4]"
i asked if anyone else just saw that and right on queue my best friend says that hand just reach out of the entertainment center,"[2, 5]"
he notes that he is disgruntled about the lack of pirate music,[0]
  today  so the story of my grandparents  illness continues im scorching my tongue on coffee and my head on looking at the screen,"[2, 4]"
ive tried sewing pants and a skirt for vivian but both turned out too short so im sending them to baby g i burned my fingers four times in two days,[2]
but oh god my nails are black call a priest,"[2, 5]"
the stranger crosses the finish line first the crowd goes wild,"[3, 5]"
when something caught my eye,[5]
as usual i was attempting to jump off as far as i could go,"[2, 3]"
anyway a dream glitch,"[2, 5]"
hes just a super nice guy who wants to help girls out all while being respectful,[3]
3rd i really dont know any of the main characters really,[2]
there was chinchilla poop everywhere,"[0, 2, 5]"
talked with a lady online and we decided to meet,"[2, 3]"
one night i woke up to a strange noise in the corner of my room so i look over and see this huge guy in a trench coat and a hat standing in the corner of my room,"[2, 5]"
i cant bend or twist my head and no lifting anything over 10 pounds,"[2, 4]"
i stomped my foot in anger,[0]
and i nodded my head,[6]
its ok to call people black,"[2, 5]"
so we went to city island where i was having my nails done,[3]
the cold outside feels so good on my skin,[3]
or luck out and get a perfectly sane person,"[2, 3]"
this will probably get buried but,"[2, 4]"
my mouth gets dry i feel like im not breathing my heart is beating too fast and then my legs start spasming  shaking just doesnt seem to be the right word ,[2]
my brain is fried at this point,[2]
i thought i was clear until i felt a hand grab my shoulder i turned in shock to see an off duty roman who had been passing i knew he was a roman from the ring which every roman wore his citizens ring as they called it,"[2, 5]"
so we get there and order some drinks,[3]
so i am from a science background and analyze everything skeptically,[6]
and my papers lay blank at the end of my hand laughing at me and leaving me torn,"[2, 4]"
my hands went numb within 10 minutes,[2]
its two am and we pull up to what looks like a small house party,"[2, 3, 5]"
bitch daniel splashed fish water  my face lmfao,[0]
i shall now write an abridged version of the second chapter chapter 2 i blinked and rubbed my eyes,[6]
